customer_id,before_call_entropy,before_perc_of_calls_to_dar,before_calls_to_dar_ward_rank,before_calls_to_dar_subward_rank,before_money_sent_normed,region_education,region_immunization_measles,region_antenatal_visits,region_parliament_female_male_ratio,region_population_millions,region_manyara,region_mara,region_pwani,region_ruvuma,region_shinyanga,binary_dv
1186,4.0066,45.65,16.0,14.0,84.45378151260505,18.3,83.4,39.72,0.6,0.86,0,0,0,0,0,0
485,2.0336,37.66,237.5,197.0,61.34969325153374,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0,0
92,4.0496,37.39,251.67,155.0,420.5445544554456,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,0
90,3.9678,8.27,195.25,199.0,2686.5234375,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0,0
862,3.6941,28.02,356.29,358.0,938.62660944206,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0,0
51,4.1299,67.57,52.67,44.0,100.0,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0,0
921,2.917,17.39,51.6,32.0,4229.370558375635,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0,0
347,4.0334,25.2,107.6,146.0,10711.45251396648,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,1
489,3.2907,59.26,51.6,65.0,6772.772277227723,26.3,51.0,32.28,0.22,2.29,0,0,0,0,0,0
528,3.2023,41.41,356.29,358.0,9.068627450980392,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0,1
523,2.5789,7.14,260.25,237.0,4955470.306930693,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,0
638,3.3444,44.68,169.25,119.0,9950.0,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,1
873,3.0395,1.28,250.12,163.0,4923.461538461538,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
319,3.8814,28.97,202.67,211.0,3618.340611353712,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
871,4.1924,23.15,195.25,154.0,429.7053140096618,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,0
719,2.8201,35.29,193.2,180.0,1563.1868131868132,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0,0
345,3.3326,69.35,20.5,69.0,5510.124087591241,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
990,3.1397,68.52,49.75,19.0,24888.28125,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,0
781,2.8359,54.47,176.0,173.0,475.0,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
260,4.1221,20.48,277.0,248.0,6374.438202247191,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,1
243,4.1229,49.13,255.57,207.0,3402.5,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
846,,,,,0.0,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
46,3.5604,29.33,239.4,169.0,253.9351851851852,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,1
1136,3.5297,11.72,49.75,97.0,979.5336787564768,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0,0
15,3.8858,10.87,49.75,97.0,2380.735294117647,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,1
165,,,,,0.0,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0,1
563,3.8356,10.91,239.4,169.0,11524.10071942446,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
183,3.2804,80.91,52.67,44.0,1458.609022556391,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,0
448,3.3741,56.5,356.29,145.0,1.1764705882352942,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
687,3.5261,21.25,255.57,289.0,6682.227488151659,19.6,81.0,63.16,1.0,1.43,1,0,0,0,0,1
1140,3.6898,39.24,141.5,130.0,4841.872222222222,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
130,3.3095,27.88,329.5,313.0,1354.2372881355932,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0,1
984,4.4276,38.87,195.67,166.0,565.70796460177,19.2,77.0,21.21,0.0,1.0,0,0,0,0,0,0
1211,,,,,0.0,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,0
583,3.7889,19.64,57.4,50.0,864.9122807017544,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
425,2.461,54.07,137.0,72.0,1504.9295774647887,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
63,3.9066,45.1,170.25,150.0,1990.3333333333333,15.2,82.3,38.58,0.5,2.13,0,0,0,0,0,1
154,2.934,12.12,229.0,234.0,455.6818181818182,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,1
325,2.5588,4.81,381.0,413.0,57.77777777777778,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
239,3.6926,13.36,329.5,346.0,2706.375,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,0
413,3.911,33.47,141.5,76.0,4253.885714285714,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,1
472,1.9427,79.41,141.5,80.0,96.96132596685082,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0,0
6,3.0152,48.82,176.0,156.0,3273.214285714286,,,,0.75,0.7,0,0,0,0,0,0
1091,2.8714,41.78,63.75,69.0,297.6442953020134,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,0
1137,3.081,39.2,356.29,388.0,3063.471502590673,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,1
1054,3.7104,38.36,8.5,9.0,5634.79381443299,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
613,2.757,91.27,237.5,302.0,444.1015625,8.6,85.6,40.74,0.5,1.74,0,1,0,0,0,0
558,4.5738,0.88,202.67,135.0,2615760.8695652173,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
377,3.5363,9.57,153.25,118.0,1507.142857142857,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,1
554,4.2198,79.37,341.5,340.0,542.1904761904761,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0,0
463,2.696,30.71,356.29,356.0,2166.0130718954247,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0,1
1012,3.3115,27.21,392.0,397.0,242369.820083682,8.3,91.3,46.53,0.75,1.38,0,0,0,1,0,1
657,3.775,11.95,334.67,218.0,1872.3809523809523,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
279,4.3207,22.49,229.0,260.0,1640.8394495412845,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
650,3.6464,31.01,53.67,46.0,5278.760330578512,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
330,3.9291,66.67,49.75,68.0,1614.0862944162436,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,0
702,4.033,29.39,281.0,332.0,48947.6387434555,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,1
913,2.8676,72.55,141.5,80.0,,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,0
648,3.6825,39.04,144.83,142.0,2501.5625,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,1
188,3.7942,24.19,219.6,152.0,25.26595744680851,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0,0
187,3.6605,26.26,361.67,382.0,6030.555555555556,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
594,3.4985,13.34,170.25,212.0,600.8333333333334,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
195,4.3348,16.58,251.67,250.0,937.3853211009174,18.3,83.4,39.72,0.6,0.86,0,0,0,0,0,1
98,3.2213,15.03,260.25,322.0,84.65346534653466,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
770,2.9783,63.89,290.33,269.0,672.9262295081967,,,,,,0,0,0,0,0,1
762,,,,,0.0,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
829,4.738,41.44,392.0,375.0,72034.07522123893,8.3,91.3,46.53,0.75,1.38,0,0,0,1,0,1
303,4.5696,51.68,255.57,69.0,315.55023923444975,19.4,70.0,33.42,0.33,1.53,0,0,0,0,1,0
451,3.5876,32.81,178.0,291.0,180.9701492537313,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0,0
1204,2.3067,100.0,137.0,175.0,671.0144927536232,26.3,51.0,32.28,0.22,2.29,0,0,0,0,0,0
111,4.255,6.32,195.67,214.0,1743.092105263158,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,0
1059,3.9345,55.82,356.29,305.0,183.41013824884791,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,0
300,2.6315,60.0,49.75,97.0,1435.982142857143,26.3,51.0,32.28,0.22,2.29,0,0,0,0,0,0
649,3.8579,34.02,170.25,212.0,167.56216216216217,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
796,,,,,0.0,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
812,3.1758,24.06,137.0,113.0,35485.89743589744,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,0
592,3.051,34.57,144.83,142.0,3750.0,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,1
173,4.3665,82.45,229.0,260.0,870.0819672131148,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0,0
541,3.3822,56.68,72.14,105.0,,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
524,2.39,22.15,352.5,428.0,,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
1004,2.5772,54.06,193.2,180.0,7546.153846153846,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
161,3.8208,12.25,329.5,346.0,2389.5893719806763,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
270,2.6113,84.07,14.67,2.0,391.869918699187,26.3,51.0,32.28,0.22,2.29,0,0,0,0,0,0
1053,4.1879,14.17,170.25,150.0,2488.2517482517483,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,1
934,4.2546,45.52,195.25,154.0,5273.412037037037,17.3,85.0,49.14,0.49,1.3,0,0,0,0,0,0
226,3.6203,25.49,144.83,166.0,4931.037037037037,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0,0
692,4.7149,46.08,137.0,329.0,68229.56216216217,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
837,4.1687,42.19,93.75,147.0,8403.030303030304,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,1
672,2.9336,27.84,239.0,275.0,444.44444444444446,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,1
957,3.0388,72.49,49.75,97.0,4795.535714285715,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0,0
1174,4.495,10.41,202.83,156.0,490.06849315068496,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
57,3.8337,46.93,260.25,294.0,8.49056603773585,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,0
357,2.1833,73.62,361.67,382.0,727.6699029126214,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0,1
955,3.2255,23.97,279.83,309.0,2584.1052631578946,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0,1
652,1.4677,2.67,93.75,147.0,3.571428571428572,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,1
1201,2.5758,63.44,260.25,294.0,669.8198198198198,18.2,97.1,46.49,0.75,2.46,0,0,0,0,0,1
1189,3.9016,60.36,255.57,241.0,1644.6308724832215,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,1
1180,3.9333,32.89,137.0,72.0,511.13744075829385,,,,0.67,1.74,0,0,0,0,0,0
988,3.6964,53.67,281.0,273.0,3700.6451612903215,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,0
385,3.0596,33.33,381.0,413.0,961.1111111111112,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0,0
671,3.5389,16.13,213.33,149.0,16069.505494505494,17.3,85.0,49.14,0.49,1.3,0,0,0,0,0,0
437,1.999,44.5,141.5,80.0,994.1176470588236,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,0
668,4.1142,20.0,202.83,234.0,18350.06632653061,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0,0
646,,,,,0.0,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,1
622,3.0641,27.27,281.0,160.0,331.3529411764706,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,0
393,2.8836,46.53,51.6,32.0,5810.810810810811,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,1
1108,3.0112,81.61,102.33,77.0,329.03225806451616,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0,0
286,4.1575,35.84,250.12,163.0,711.2794759825327,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0,1
564,4.108,57.88,392.0,397.0,7391.188679245283,8.3,91.3,46.53,0.75,1.38,0,0,0,1,0,1
508,3.5328,47.9,77.0,75.0,1553.6057692307693,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
1206,2.8633,71.92,107.6,62.0,822.1052631578947,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,0
1022,3.057,16.8,290.33,269.0,2313.84375,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
71,4.7252,30.69,251.67,7.0,,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
263,3.6578,46.38,392.0,398.0,378.57142857142856,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,1
48,3.9847,7.25,22.0,23.0,1520.0,17.3,85.0,49.14,0.49,1.3,0,0,0,0,0,0
559,4.0166,20.18,399.2,409.0,28.98550724637681,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
131,3.1313,56.05,422.22,424.0,2635395.3991935486,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,0
802,3.1335,64.01,250.12,254.0,651.4492753623189,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0,1
206,4.1887,23.64,202.83,156.0,1639.4904458598726,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,0
329,2.5355,32.08,144.83,123.0,0.7142857142857143,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
625,3.5511,33.93,361.67,371.0,1088.7096774193549,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,1
367,3.5371,62.89,52.67,70.0,31866.666666666668,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,0
164,3.5259,9.34,49.75,15.0,2940.0,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,0
734,3.4761,47.66,195.67,122.0,4915276.27118644,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,0
694,4.1468,42.2,237.5,302.0,3621.2901234567903,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0,1
1165,3.0019,39.74,418.25,436.0,2494.767441860465,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,1
333,3.5005,32.0,176.0,120.0,471.79487179487177,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,1
1141,4.1225,46.3,170.25,150.0,369.0,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0,1
623,,,,,0.0,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0,0
455,4.1237,20.42,250.12,34.0,6434254.335260116,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
12,3.0439,59.66,356.29,267.0,1239.141414141414,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,1
499,3.1298,15.33,89.75,49.0,920498.2875816992,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,1
617,2.2416,50.0,102.33,106.0,1910.119047619048,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
952,4.1522,27.72,51.6,101.0,3093.75,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
38,3.1888,3.49,281.43,229.0,859.349593495935,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,1
219,3.3468,30.98,176.0,209.0,292.6829268292683,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
752,4.5984,16.75,299.67,304.0,1245.9594594594594,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0,0
153,2.6051,26.73,52.67,63.0,1856.4245810055863,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,0
1065,2.7068,20.21,250.12,308.0,8148.378378378378,18.2,97.1,46.49,0.75,2.46,0,0,0,0,0,0
575,2.536,13.98,255.57,39.0,3526.5822784810125,18.3,83.4,39.72,0.6,0.86,0,0,0,0,0,0
1150,2.9471,8.57,178.0,179.0,6.493506493506493,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
616,2.968,2.52,203.0,203.0,489.0046296296296,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
276,3.3537,27.59,107.6,115.0,3632.352941176471,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,0
315,2.6871,65.15,93.75,147.0,2977.5,17.3,85.0,49.14,0.49,1.3,0,0,0,0,0,0
1199,3.7711,49.54,137.0,113.0,31.51515151515152,26.3,51.0,32.28,0.22,2.29,0,0,0,0,0,0
1072,1.4575,3.47,307.5,324.0,1052.5688073394494,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
884,3.6678,58.45,399.2,439.0,1741.783625730994,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,1
254,1.9352,77.74,255.57,241.0,336.9047619047619,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,1
224,4.118,21.37,392.0,397.0,2663.575757575757,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
81,3.8503,15.79,139.5,289.0,4229.166666666667,17.3,85.0,49.14,0.49,1.3,0,0,0,0,0,1
1188,3.7568,19.01,72.14,44.0,3833.174157303371,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
772,3.9166,33.07,106.2,45.0,10.9375,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,1
310,3.6875,58.4,20.5,6.0,2841.964285714286,17.3,85.0,49.14,0.49,1.3,0,0,0,0,0,0
665,2.8539,38.33,70.4,55.0,5440.88,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0,0
25,3.8279,1.48,63.75,180.0,,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0,1
33,3.47,18.36,250.12,163.0,9.30232558139535,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
158,4.1248,25.23,195.25,199.0,92.91044776119404,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
777,3.5247,79.35,14.67,168.0,2145.755,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,1
379,2.9616,41.94,202.67,261.0,,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,1
28,4.967,37.25,36.0,71.0,8791.558441558442,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0,0
983,3.3153,58.47,418.25,436.0,253.6551724137931,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
847,4.4379,19.6,137.0,113.0,3379.285714285714,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
1112,3.5351,15.0,52.67,63.0,355171.1176470588,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0,0
53,3.8548,51.26,141.5,80.0,3630.542986425339,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,1
840,3.547,52.4,112.4,104.0,1223.4741784037558,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0,0
1114,3.3034,3.76,170.25,362.0,342.12598425196853,18.2,97.1,46.49,0.75,2.46,0,0,0,0,0,0
469,3.0267,7.14,184.25,145.0,590.3669724770642,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0,0
298,3.6446,20.0,144.83,123.0,116.98113207547168,,,,0.75,0.7,0,0,0,0,0,0
586,2.811,84.12,53.67,46.0,233.3333333333333,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,1
174,3.2807,29.23,399.2,449.0,636.25,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,1
733,3.5153,51.01,52.67,44.0,965.1310043668122,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
250,2.9478,21.15,106.2,107.0,3.1645569620253164,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
1177,2.852,39.66,422.22,424.0,11238.372093023256,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,1
927,3.2985,23.81,178.0,193.0,,13.1,93.2,39.66,0.5,1.37,0,0,0,0,0,1
34,3.266,10.0,381.0,332.0,2407.6470588235293,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0,0
27,4.5722,43.51,229.0,260.0,5731.25,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,0
1077,4.2929,38.79,77.6,53.0,2237.0298507462685,15.2,82.3,38.58,0.5,2.13,0,0,0,0,0,0
70,3.7746,11.54,229.0,324.0,738.9447236180905,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0,1
891,3.62,50.38,392.0,362.0,893.4782608695652,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,1
845,3.809,75.57,202.67,136.0,763.1472081218274,13.1,93.2,39.66,0.5,1.37,0,0,0,0,0,0
37,3.2591,47.48,250.12,254.0,1017.1875,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,1
273,3.1402,47.89,229.0,260.0,116.46341463414636,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0,1
486,2.4007,87.5,230.33,231.0,987.7952755905512,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0,1
1040,2.7929,80.0,299.67,286.0,20712.5,,,,,,0,0,0,0,0,0
269,3.2084,23.53,107.6,115.0,4393.803418803419,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
1082,2.6861,72.34,20.5,40.0,5968.811881188119,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
1127,3.8929,74.81,57.4,34.0,449.4660194174757,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
17,3.4179,11.2,72.14,81.0,6228.34375,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,1
1007,3.7117,2.52,53.67,29.0,13493.244897959185,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,1
633,3.3987,27.27,195.67,247.0,1385.054347826087,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0,0
1087,4.8962,11.78,356.29,267.0,8888.587982832618,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
309,,,,,0.0,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
546,3.2651,1.29,93.75,43.0,9.92063492063492,8.6,85.6,40.74,0.5,1.74,0,1,0,0,0,0
79,2.9807,72.8,277.0,248.0,638.7850467289719,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,0
765,3.4029,56.14,176.0,201.0,306.25,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0,0
911,1.9533,78.79,202.67,211.0,786.5269461077844,13.1,93.2,39.66,0.5,1.37,0,0,0,0,0,1
612,3.2862,14.35,230.33,231.0,1886.945945945946,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
156,4.3918,30.08,178.0,179.0,3490.7894736842104,19.4,70.0,33.42,0.33,1.53,0,0,0,0,1,0
560,3.5773,7.73,255.57,243.0,11464.529914529914,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
897,,,,,0.0,18.3,83.4,39.72,0.6,0.86,0,0,0,0,0,1
186,2.8542,53.15,170.25,150.0,1040.5172413793102,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0,0
693,3.0836,29.63,170.25,150.0,711.8279569892474,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
202,3.6092,76.6,193.2,180.0,3293.246511627907,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
713,3.9374,5.2,106.2,143.0,1037.0661157024792,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
49,1.3252,97.5,52.67,63.0,1293.3333333333333,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,1
