Region,Region_HDI,Region_Life_Expectancy,Region_Expected_Years_Schooling,Region_GDPpc,Region_NonIncome_HDI,Region_Ratio_Female_Male_HDI,Region_Life_Expectancy_Female,Region_Life_Expectancy_Male,Region_EYS_Female_Male_Ratio,Region_Estimate_GDPpc_Female,Region_Estimate_GDPpc_Male,Region_Multidim_Poverty_Index,Region_Incidence_Poverty,Region_Av_Intensity_Poor,Region_Population_Vulnerable_To_Poverty,Region_Population_In_Severe_Poverty,Region_Standard_of_Living,Region_Health,Region_Education,Region_Immunization_DPT,Region_Immunization_Measles,Region_Child_Nutrition_Stunted,Region_Child_Nutrition_Wasted,Region_Under_Weight_Birth,Region_Death_at_Delivery_Facility,Region_Delivered_Skilled_Provider,Region_Delivered_Facility,Region_Antenatal_Visits,Region_Women_HIV,Region_Men_HIV,Region_Parliament_Female_Male_Ratio,Region_District_Commissioners_Female_Male_Ratio,Region_Concillors_Female_Male_Ratio,Region_Adult_Literacy,Region_Population_Secondary_Education,Region_Population_Millions,Region_Population_0_4years,Region_Population_5_14years,Region_Population_15_64years,Region_Population_65years_plus,Region_Urban_Population,Region_Population_Density_km2,Region_Median_Age,Region_Age_Dependency_Ratio,Region_Fertility_Rate,Region_Male_Female_Ratio
Arusha,0.721,67.6,8.52,1258334.00,0.701,0.889,69.4,65.9,0.984,1093219.00,1433852.00,0.256,55,46.5,22.5,23.4,54.3,28.9,16.8,100,91.4,43.9,9.5,5.9,0.081,47.2,46.2,52.21,3.9,2.3,0.38,0.00,0.38,89.3,15.7,1.69,14.8,26.9,55.1,3.2,33,45.00,18.5,81.5,3.9,94
Kilimanjaro,0.719,67.4,8.62,1237761.00,0.703,0.898,68.6,66.3,1.054,1071373.00,1415436.00,0.138,33.5,41.3,26.7,5.4,63,28.6,8.4,96.9,96.9,27.6,5.3,1.2,0.109,86.1,86.7,61.11,4.9,2.2,0.88,0.00,0.34,92.2,12.3,1.64,11.7,26.2,55.1,7,24.2,124.00,20.6,81.4,3.6,94
Dar es Salaam,0.714,59.5,7.65,1734842.00,0.605,0.851,61.8,57.3,0.916,1344305.00,2146134.00,0.111,25.8,43.1,18.3,8.2,29.1,57.1,13.9,100,98.4,18.8,6.8,11.4,0.094,91,90.2,74.25,8.2,5.3,2.50,0.50,0.57,96.1,28.6,4.36,12.1,19.5,66.3,2.1,100,3133.00,22.7,50.8,2.9,95
Iringa,0.693,55.6,9.03,1428243.00,0.623,0.956,57.9,53.3,1.063,1297602.00,1569615.00,0.277,60.5,45.8,15.4,22.4,59.2,29.1,11.8,93.3,93.3,51.9,3.5,10.9,0.133,80.8,80.4,38.82,10.9,6.9,0.33,2.00,0.56,81.9,8.7,0.94,13.7,28.3,53.6,4.4,27.2,27.00,18.5,86.5,4.2,92
Ruvuma,0.674,60.3,8.36,1237972.00,0.639,0.875,61.7,59,1.016,1039563.00,1448107.00,0.287,63.1,45.5,20,24.5,63.1,28.6,8.3,96,91.3,46.2,4.8,9.9,0.122,83,85.9,46.53,9.1,4.1,0.75,0.20,0.44,84.4,6.3,1.38,14.9,28.1,53,4,24.6,22.00,18.4,88.7,4.7,94
Mbeya,0.668,58.3,8.79,1210065.00,0.638,0.885,60.2,56.4,0.992,1037299.00,1397732.00,0.291,63.3,46,23.2,23.6,57.5,24.4,18.1,78.3,83.3,49.8,1.2,10.2,0.158,42.9,43.3,22.44,11,6.7,0.25,0.33,0.36,80.8,8.3,2.71,15.6,27.4,53,4,33.2,45.00,18.1,88.8,4.2,92
Tanga,0.661,64.4,8.74,1026432.00,0.685,0.855,65.4,63.4,1.023,867063.00,1195520.00,0.333,68.8,48.5,13.6,31.7,57.6,27.4,15.1,85.7,84.8,49.4,5.5,9.5,0.172,44.5,41.3,40.63,3.5,0.7,0.30,1.00,0.49,79.8,7.4,2.05,14.9,28.5,51.8,4.8,21.6,77.00,18.2,93,4.7,94
Manyara,0.633,68.2,6.92,1048437.00,0.635,0.795,69.6,66.8,1.075,773451.00,1319958.00,0.341,65.8,51.8,21.1,37.7,57.3,23.1,19.6,88.6,81,45.8,7.4,3,0.159,38.5,38,63.16,2.7,0.3,1.00,0.25,0.36,72.6,5.6,1.43,17.6,29.5,49.1,3.8,13.6,32.00,16.2,103.6,5.5,101
Lindi,0.628,63.8,8.08,976192.00,0.655,0.895,66.6,61.2,1.000,864140.00,1097879.00,0.432,81.9,52.8,11,47.7,54.2,27.5,18.3,83.3,83.4,53.5,4.1,12.3,0.171,52.1,51.7,39.72,4.3,1.1,0.60,0.50,0.44,68,4.1,0.86,13,26.3,54.4,6.3,18.7,13.00,21.1,84,4,92
Mara,0.62,60.9,8.69,946107.00,0.656,0.86,63,59,0.943,830808.00,1067277.00,0.358,74.8,47.9,16.5,33.6,58.3,33.1,8.6,90,85.6,31,5,12.4,0.081,30.4,33.3,40.74,5.2,3.5,0.50,0.17,0.38,80.7,7.6,1.74,19,30.6,46.9,3.5,17.4,80.00,15,113.2,6.3,93
Morogoro,0.62,62.4,7.96,984686.00,0.639,0.881,64.4,60.4,1.036,849179.00,1124145.00,0.311,62.5,49.7,18.2,30.8,54.3,27.1,18.6,95.4,92.4,44.4,5.3,6.6,0.094,60.6,58,50.9,5.3,2.1,0.67,0.25,0.42,76.9,7.9,2.22,14.6,26.7,54.4,4.3,28.7,31.00,19.1,83.8,4.2,97
Mtwara,0.618,63.5,8.25,930862.00,0.659,0.893,65.2,61.9,0.983,849763.00,1021640.00,0.339,69.2,48.9,19.2,33.5,58.6,25.7,15.7,100,94,43.5,2.6,9.4,0.284,59.5,58.6,45.52,6,1.5,1.20,0.25,0.51,70.8,4.4,1.27,13.3,25.2,54.8,6.7,22.9,76.00,21.8,82.4,4,89
Mwanza,0.616,62.5,8.62,910824.00,0.666,0.812,64.7,60.4,0.967,745209.00,1082738.00,0.355,68.9,51.4,19.7,32.8,53.8,26.6,19.6,87.8,86.7,38.7,3.9,2.6,0.115,44.1,45.9,39.82,4.7,3.7,0.38,2.50,0.40,79.9,10,2.77,18,28.7,50.3,3,33.3,293.00,16.3,98.9,5.8,96
Rukwa,0.57,58.4,6.92,974601.00,0.567,0.826,61,56,0.960,793644.00,1166668.00,0.371,71.6,51.7,16.8,42.2,56,24.9,19.2,78.5,77,50.4,3.8,11.9,0.117,29.5,29.5,21.21,6.8,5.5,0.00,0.00,0.36,69.9,5.8,1,19.7,30.7,47,2.6,23.5,44.00,14.7,112.9,7.1,94
Pwani,0.549,60.3,8.76,752192.00,0.653,0.795,60.8,59.7,0.976,651632.00,857055.00,0.304,59.2,51.3,20.8,28.7,52.9,26.7,20.4,98.2,92.2,31.7,4.2,5.3,0.202,74,73.1,63.64,9.2,2.1,0.80,2.00,0.53,73.6,7.9,1.1,14,25.9,53.9,6.2,32.8,34.00,20.2,85.6,4.3,96
Shinyanga,0.545,59.8,6.99,856333.00,0.58,0.823,62.5,57.1,1.013,705161.00,1014174.00,0.389,74.5,52.3,17.3,39.9,53.8,26.8,19.4,79.4,70,43.3,2.5,0.9,0.073,34.7,33.1,33.42,8.1,6.6,0.33,0.50,0.44,68.4,6.4,1.53,18.4,29.2,49.1,3.3,16.6,81.00,16,103.8,5.5,96
Tabora,0.519,60.8,6.98,770866.00,0.587,0.713,63.5,58.2,0.977,592874.00,953925.00,0.429,76.4,56.2,14.5,48.2,49.6,24,26.3,61.4,51,33,3.9,5.9,0.175,46.4,45.7,32.28,5.8,4.5,0.22,2.50,0.42,59,4.6,2.29,18.6,29.8,48.1,3.5,12.5,30.00,15.6,107.9,6.2,97
Kagera,0.494,57.6,7.54,716209.00,0.586,0.821,59.8,55.5,1.017,624660.00,811300.00,0.379,72.2,52.6,16.5,41.9,53.6,28.2,18.2,100,97.1,43.6,5,3.8,0.086,54.3,53.8,46.49,5.5,4.1,0.75,0.60,0.44,76.8,6.7,2.46,18.3,29.4,48.8,3.5,9.2,97.00,15.9,105,6,96
Dodoma,0.487,64.4,7.21,665180.00,0.622,0.778,68,60.8,1.103,560707.00,775175.00,0.45,83,54.3,11.1,55.8,55.8,26.3,17.8,95.3,84.8,56,5.2,5.2,0.101,45.9,45.1,41.46,2.1,3.7,0.50,0.40,0.35,67.5,5.8,2.08,16,29.5,49.6,4.9,15.4,50.00,17,101.5,5.3,95
Singida,0.475,67.1,7.41,625974.00,0.649,0.691,68.4,65.8,1.060,524781.00,729354.00,0.348,69.3,50.2,23.4,35.1,58.8,28,13.1,94.8,93.2,39,9.2,6.5,0.12,48.5,47.7,39.66,4.5,1.8,0.50,5.00,0.44,73.6,4.4,1.37,17.4,29.6,48.3,4.7,12.5,28.00,16.3,107,6.2,98
Kigoma,0.426,62.2,6.49,608652.00,0.575,0.601,64,60.5,0.973,498138.00,726678.00,0.361,72.8,49.7,18.4,33,57,27.8,15.2,79,82.3,48.2,3.2,6.6,0.093,33.5,33.3,38.58,4.5,2,0.50,0.33,0.38,76,5,2.13,19.3,29.5,47.5,3.7,17.2,57.00,15.6,110.4,6.4,94
Zanzibar,,65.7,,1030000.00,,,,,,,,0.202,0.433,0.45,20.9,16.6,31.4,51.3,17.3,94.6,85,30.2,12,6.9,0.03,53.7,49.2,49.14,1.1,0.9,0.49,0.25,0.49,84.2,21.3,1.3,15.6,26.9,54.7,2.8,46.3,530.00,,83,4.7,94
Geita,0.555,63.3,,,0.603,0.82,64.9,61.7,,,,0.375,,,,,,,,,,,,,,,,,5.7,3.5,0.67,0.25,0.42,67.9,4.7,1.74,19.6,30.9,47,2.5,16,28.00,14.7,112.9,6.9,98
Simiyu,0.55,64.7,,,0.586,0.822,66.1,63.3,,,,0.385,,,,,,,,,,,,,,,,,4.3,2.7,0.50,0.67,0.38,66.7,3.7,1.58,19.9,31.4,45.5,3.2,7,63.00,14.4,119.7,6.3,92
Njombe,0.693,53,,,0.623,0.956,56.7,49.4,,,,0.277,,,,,,,,,,,,,,,,,15.4,14.2,0.75,3.00,0.63,81.9,6.4,0.7,13.3,28.6,53.5,4.6,23.6,81.00,18.6,87,3.7,88
Katavi,0.57,57.4,,,0.567,0.826,61,53.9,,,,0.371,,,,,,,,,,,,,,,,,5.3,6.7,0.67,0.00,0.36,65.7,4.7,0.56,19.8,29.7,47.9,2.6,27.8,15.00,15.2,108.7,7.3,98